Date,Total_Revenue,Revenue_by_Product,Revenue_by_Service,Revenue_by_Region,Total_Expenses,Operational_Expenses,Salaries,Marketing_Expenses,RD_Expenses,Miscellaneous_Expenses,Gross_Profit,Net_Profit,Profit_Margin_Percentage,Cash_Inflows,Cash_Outflows,Net_Cash_Flow,Cash_Flow_from_Operating_Activities
2023-06-21,497354,Product A,Service C,Europe,168973,134309,65717,3727,14217,4891,274493,274493,0,298477,224192,74285,488555
2024-03-28,294694,Product C,Service C,South America,107491,61954,15171,46616,41849,3072,126032,126032,0,907982,75084,832898,16747
2023-10-07,65798,Product C,Service A,Europe,210011,117760,82375,25158,40136,121,-199752,-199752,-400,369313,391473,-22160,662259
2024-03-11,908958,Product A,Service B,Asia,180671,106477,48792,38270,47563,2952,664904,664904,0,93767,746252,-652485,220809
2023-06-03,880564,Product A,Service A,Africa,189581,26400,91504,11141,43071,407,708041,708041,0,348492,262974,85518,16700
2023-10-22,801581,Product A,Service C,Europe,293817,56719,50127,13527,23704,792,656712,656712,0,636138,728644,-92506,107792
2024-01-07,949247,Product C,Service C,North America,411325,64427,13067,3973,48740,4582,814458,814458,0,751976,601490,150486,671740
2023-06-26,664050,Product B,Service C,Africa,332153,149962,22198,16876,47263,4624,423127,423127,0,788730,261310,527420,988037
2024-01-18,507667,Product A,Service B,Africa,368489,65396,61406,6460,11564,3554,359287,359287,0,285188,31442,253746,289156
2023-09-07,116620,Product C,Service B,South America,337045,23504,69908,10757,49516,4756,-41821,-41821,-100,222385,323005,-100620,914859
2023-10-29,436772,Product A,Service C,Africa,76505,143835,46081,1383,48224,4095,193154,193154,0,103988,576020,-472032,546594
2023-11-24,353678,Product A,Service B,Europe,314246,25617,98408,2899,30007,2746,194001,194001,0,584181,266636,317545,9526
2024-02-13,443686,Product C,Service C,North America,429507,72072,40989,21977,22119,3364,283165,283165,0,54991,715027,-660036,157626
2023-10-21,19897,Product B,Service C,North America,443963,107730,62777,19021,24500,2111,-196242,-196242,-1000,700129,300383,399746,984978
2024-05-13,383324,Product A,Service A,Africa,37858,101844,44111,26088,4707,279,206295,206295,0,678905,338797,340108,227387
2024-02-20,619629,Product C,Service C,Africa,439176,106989,64403,48416,17417,3692,378712,378712,0,431202,343803,87399,534535
2023-12-30,617571,Product C,Service A,Africa,205473,188419,13260,32431,30314,2188,350959,350959,0,602832,810742,-207910,44645
2024-05-06,452539,Product A,Service C,Europe,209890,43762,14950,10620,35399,161,347647,347647,0,494560,619357,-124797,117427
2024-04-14,673566,Product C,Service C,Europe,324380,55897,39069,38581,33079,626,506314,506314,0,672003,289324,382679,723302
2023-06-19,433050,Product C,Service B,Europe,402119,61991,62875,38715,44824,1477,223168,223168,0,706399,509596,196803,377819
2024-04-29,383955,Product B,Service A,North America,262521,174336,68906,41487,25863,576,72787,72787,0,457850,377805,80045,513502
2023-06-29,686923,Product C,Service B,South America,100930,149661,4864,25997,3679,1711,501011,501011,0,25908,418187,-392279,934948
2023-07-16,178494,Product C,Service A,Asia,459870,88364,10383,24851,21310,2812,30774,30774,0,556842,721631,-164789,942148
2024-04-16,76696,Product C,Service A,Asia,56194,160643,62129,12856,26396,1843,-187171,-187171,-300,691874,85418,606456,367775
2024-02-18,116584,Product A,Service B,South America,81379,103001,76792,4490,35023,4934,-107656,-107656,-100,472830,356301,116529,349017
2023-07-20,412897,Product A,Service A,Europe,347445,105097,60837,41370,1501,4183,199909,199909,0,357544,464885,-107341,303991
2023-10-08,966869,Product A,Service A,Asia,274857,45067,90998,9646,23186,4902,793070,793070,0,429123,199748,229375,731186
2024-05-17,728075,Product B,Service B,Oceania,405567,113212,85889,10138,48947,1712,468177,468177,0,925319,652641,272678,933939
2024-02-18,150830,Product A,Service B,Oceania,232667,186843,8702,11294,31436,3854,-91299,-91299,-100,345816,232874,112942,332787
2024-04-12,383566,Product B,Service A,Europe,16561,164246,55640,21224,16497,1082,124877,124877,0,590715,544638,46077,294438
2024-01-16,720614,Product A,Service B,North America,45395,121155,21525,25796,11054,2309,538775,538775,0,354686,137576,217110,992430
2023-11-06,11379,Product C,Service A,Asia,311148,177681,72554,42135,23078,3423,-307492,-307492,-2800,543987,253165,290822,315433
2023-07-07,11716,Product B,Service A,Africa,58380,54150,67204,23282,11021,4523,-148464,-148464,-1300,663088,113683,549405,76881
2023-12-23,357531,Product C,Service A,Europe,178138,112364,9085,29047,37868,2997,166170,166170,0,908758,716786,191972,954106
2024-03-09,621045,Product B,Service C,Africa,295839,6123,36958,8052,32868,1197,535847,535847,0,879666,589771,289895,171692
2024-03-05,162231,Product C,Service B,Oceania,402702,98225,70410,47979,21121,3340,-78844,-78844,-100,12134,354114,-341980,729931
2024-03-21,222199,Product A,Service A,Europe,326786,86277,68523,22852,13955,3227,27365,27365,0,590694,367788,222906,458993
2023-10-28,960590,Product B,Service A,Asia,258026,180598,91891,37955,22859,3259,624028,624028,0,682570,107812,574758,26782
2023-12-25,100540,Product A,Service A,Europe,184559,199692,97208,26947,26767,2527,-252601,-252601,-300,919431,780652,138779,109381
2023-12-08,300612,Product B,Service C,South America,185230,86712,45876,19458,21373,1464,125729,125729,0,293189,470238,-177049,608907
2023-07-31,317291,Product B,Service B,Asia,417128,160774,71190,45723,23243,4146,12215,12215,0,849295,476592,372703,540990
2023-09-22,533349,Product B,Service A,Asia,421245,144493,78527,27568,31541,3594,247626,247626,0,122243,476050,-353807,569134
2023-06-17,275942,Product B,Service C,Africa,100845,69429,2901,23111,15739,3056,161706,161706,0,649841,196541,453300,820
2024-02-16,421260,Product B,Service A,North America,399141,19035,62241,36768,43489,3605,256122,256122,0,781940,582738,199202,339274
2024-03-06,473480,Product B,Service B,South America,380332,116932,27392,31982,31984,3661,261529,261529,0,929065,576011,353054,814474
2023-12-27,561157,Product B,Service B,North America,227650,31684,16838,30605,18864,4972,458194,458194,0,764998,226302,538696,899449
2024-02-18,723314,Product A,Service B,South America,210686,43196,77130,45893,45195,1538,510362,510362,0,819172,474891,344281,277078
2024-04-16,566419,Product B,Service A,North America,274307,57364,71298,21498,10257,3144,402858,402858,0,292251,665800,-373549,980884
2023-05-29,137285,Product B,Service B,Oceania,487471,161039,96815,29595,27555,944,-178663,-178663,-200,276484,653364,-376880,258522
2023-08-16,661215,Product A,Service A,Africa,162882,174691,56008,29247,9436,905,390928,390928,0,573540,348894,224646,668373
2023-06-01,417096,Product A,Service A,North America,64254,163951,36322,3987,5539,3171,204126,204126,0,900447,303764,596683,300782
2023-07-24,889011,Product A,Service A,Asia,46369,79310,93822,10981,28039,2443,674416,674416,0,553864,199040,354824,466479
2023-09-13,928460,Product C,Service A,Oceania,126912,79243,5866,41970,4493,4927,791961,791961,0,702993,593809,109184,903036
2023-07-30,353472,Product C,Service C,North America,332213,60866,34122,22001,5408,2323,228752,228752,0,420748,291037,129711,859999
2023-10-19,23107,Product B,Service B,Asia,242420,29896,48753,12856,20009,3987,-92394,-92394,-400,393101,649111,-256010,525206
2023-06-29,433137,Product C,Service C,North America,194762,26149,86983,1927,41009,4819,272250,272250,0,830718,349063,481655,617506
2023-07-12,322943,Product C,Service B,Oceania,340686,78682,81862,14587,15210,1003,131599,131599,0,473634,359991,113643,624086
2024-02-29,691537,Product B,Service C,Africa,14799,119806,68479,41774,2570,1549,457359,457359,0,678763,628194,50569,217502
2024-04-04,186879,Product A,Service A,Asia,23615,59425,78373,4016,13119,3779,28167,28167,0,623192,95973,527219,205301
2024-01-24,338153,Product B,Service B,Oceania,178307,73631,42918,46317,46863,3047,125377,125377,0,545750,288448,257302,518607
2024-01-27,618269,Product A,Service A,North America,78305,157004,12235,9443,20680,968,417939,417939,0,230491,513383,-282892,651860
2023-11-18,201614,Product B,Service B,Africa,243515,113422,81079,39299,1720,3601,-37507,-37507,-100,97424,419165,-321741,625143
2023-09-09,701183,Product B,Service A,Asia,164855,108600,80850,35634,46355,1319,428425,428425,0,646426,555569,90857,196224
2024-05-19,215618,Product B,Service B,Asia,304918,77436,89972,41414,10375,2572,-6151,-6151,-100,273438,802641,-529203,832365
2024-04-19,685334,Product B,Service C,South America,386166,152935,45101,29282,14507,2030,441479,441479,0,182752,280942,-98190,526305
2023-07-08,636317,Product A,Service B,Europe,21215,162063,5614,3420,18066,3446,443708,443708,0,108462,564314,-455852,567787
2024-01-26,95910,Product B,Service A,Oceania,193053,199042,56649,45851,28691,3838,-238161,-238161,-300,65810,738161,-672351,876992
2024-03-17,986346,Product B,Service B,South America,473676,182983,62762,28592,33791,3471,674747,674747,0,789322,173804,615518,829226
2023-05-31,737030,Product A,Service B,Africa,58001,179894,30573,9466,12779,2364,501954,501954,0,49457,150948,-101491,195907
2023-06-28,119797,Product B,Service B,North America,155226,171174,64259,15348,46253,4832,-182069,-182069,-200,20525,381458,-360933,805362
2024-01-30,937652,Product B,Service C,Asia,292787,147136,43245,49162,16701,1888,679520,679520,0,758495,813240,-54745,885060
2023-08-31,920291,Product A,Service A,Asia,325157,70843,85167,11751,36536,4547,711447,711447,0,762292,626864,135428,998750
2023-10-07,509724,Product C,Service B,South America,135763,75775,65820,41524,15004,3673,307928,307928,0,750278,498820,251458,320928
2023-06-02,991379,Product A,Service A,North America,228620,135428,30186,34694,25782,2561,762728,762728,0,322125,664199,-342074,198567
2023-09-23,590604,Product A,Service B,Africa,309609,137217,58831,48926,11747,2879,331004,331004,0,466082,624637,-158555,930207
2023-10-01,708297,Product A,Service C,Asia,285693,141995,74631,44148,37812,4123,405588,405588,0,180514,628061,-447547,375548
2024-01-05,877094,Product B,Service A,South America,272410,11050,91419,11419,4251,780,758175,758175,0,855856,502494,353362,132034
2023-11-30,707888,Product A,Service B,North America,241110,26131,67502,15930,42643,603,555079,555079,0,679679,385765,293914,787101
2023-10-07,261028,Product A,Service C,North America,258969,191972,63037,11688,18880,1775,-26324,-26324,-100,665763,41368,624395,2391
2024-04-14,432694,Product A,Service C,Asia,98271,171030,79004,10196,40127,1483,130854,130854,0,620362,865887,-245525,676507
2023-11-03,939722,Product B,Service B,Oceania,205810,47457,5942,33029,38800,2075,812419,812419,0,984271,720588,263683,290189
2023-12-08,744602,Product C,Service A,Africa,287859,196589,30375,48517,9874,4081,455166,455166,0,800862,831538,-30676,92617
2023-09-27,870754,Product A,Service A,Oceania,372682,177282,79081,27174,46249,2300,538668,538668,0,74723,116918,-42195,67470
2024-03-27,716583,Product B,Service B,South America,390284,10183,36711,1544,6099,3887,658159,658159,0,947185,569116,378069,850741
2023-09-20,27184,Product A,Service A,South America,132115,66126,59305,7395,43633,1268,-150543,-150543,-600,834241,221731,612510,269839
2023-11-23,763099,Product C,Service B,Asia,381688,154737,69240,14272,5189,4294,515367,515367,0,627798,819422,-191624,849508
2023-09-19,161966,Product C,Service C,Oceania,58781,10409,25326,6842,23007,1962,94420,94420,0,375879,668337,-292458,132630
2023-10-20,503696,Product C,Service C,Africa,215888,188793,40276,33133,3057,295,238142,238142,0,85990,296600,-210610,954554
2023-11-29,565929,Product B,Service C,South America,133311,146873,34596,37663,3680,969,342148,342148,0,368329,657567,-289238,452242
2024-01-12,167463,Product A,Service B,South America,68512,166465,40029,12125,12023,242,-63421,-63421,-100,431163,5696,425467,528214
2023-10-03,355762,Product A,Service B,South America,349718,61066,64705,34389,30360,4626,160616,160616,0,502381,264709,237672,492148
2024-03-19,128240,Product C,Service B,Europe,209760,138287,37726,17017,8760,4383,-77933,-77933,-100,507723,584123,-76400,559254
2023-07-11,508136,Product B,Service A,Asia,395974,198192,29433,26895,49163,4738,199715,199715,0,366133,558439,-192306,906052
2024-01-01,687641,Product C,Service A,Asia,306294,61767,52272,12349,40067,1462,519724,519724,0,957889,858855,99034,534338
2023-07-02,81452,Product A,Service C,Europe,423093,97538,93897,9349,14063,1156,-134551,-134551,-200,756611,245758,510853,611097
2023-11-23,41458,Product B,Service A,North America,491892,42407,92519,36270,2306,2930,-134974,-134974,-400,34959,642962,-608003,456264
2023-06-04,244317,Product C,Service A,Africa,423161,103998,50552,4386,22478,903,62000,62000,0,354066,330575,23491,246789
2024-03-01,626552,Product C,Service C,Europe,341437,193253,7875,21941,17609,719,385155,385155,0,898195,747202,150993,558312
2023-09-24,904477,Product C,Service C,Oceania,40754,51532,32256,32340,29494,4888,753967,753967,0,554359,395726,158633,718521
2024-02-12,92523,Product C,Service C,North America,98674,85855,84626,45716,45484,771,-169929,-169929,-200,731171,345554,385617,511378
2023-12-19,232954,Product B,Service A,North America,231466,100210,17461,34865,33487,951,45980,45980,0,611852,60726,551126,269034
2023-11-04,763786,Product C,Service C,Africa,145327,171530,59036,2838,31688,1515,497179,497179,0,76619,619754,-543135,390574
2023-11-24,987469,Product B,Service B,Oceania,51096,152473,78843,45205,30497,307,680144,680144,0,658467,548852,109615,671765
2023-07-30,119864,Product C,Service B,South America,134842,136282,76971,25671,49736,4601,-173397,-173397,-200,514253,162679,351574,422847
2024-02-13,855765,Product A,Service C,Oceania,274784,193062,43120,23804,1675,4491,589613,589613,0,865862,566800,299062,604833
2023-10-30,692086,Product B,Service B,North America,455122,98580,13171,35877,7330,3274,533854,533854,0,439091,652143,-213052,879053
2024-04-06,61503,Product A,Service B,Europe,101460,49271,62723,33363,25957,4604,-114415,-114415,-200,561353,404997,156356,791443
2024-04-20,692788,Product B,Service C,Asia,279289,17088,99131,8327,20658,1371,546213,546213,0,728753,458558,270195,711685
2024-01-06,871464,Product C,Service B,Asia,388087,41102,61534,46750,41805,2443,677830,677830,0,553861,77429,476432,207033
2024-05-15,515779,Product C,Service B,Africa,42044,35900,52796,38025,3908,173,384977,384977,0,895151,655593,239558,831958
2024-03-01,535092,Product C,Service A,Asia,437895,149810,58255,14752,40088,3272,268915,268915,0,604211,597128,7083,20779
2023-12-02,19228,Product B,Service C,North America,129481,184656,34866,17321,17044,1293,-235952,-235952,-1300,819680,591009,228671,413610
2023-10-23,173115,Product C,Service B,Africa,360635,132363,7999,3081,38113,2843,-11284,-11284,-100,295212,812418,-517206,776553
2024-03-31,973446,Product A,Service C,Africa,26800,58905,37938,45313,40439,479,790372,790372,0,175506,169853,5653,141049
2023-07-08,586555,Product A,Service B,Africa,27954,93834,67642,39006,6300,1450,378323,378323,0,685276,21013,664263,508210
2023-06-28,716075,Product C,Service A,Oceania,56096,156791,51560,12521,39304,4791,451108,451108,0,339708,647763,-308055,682012
2024-01-17,128371,Product C,Service C,Europe,247186,63196,23960,45715,26435,232,-31167,-31167,-100,375078,304673,70405,221115
2023-10-08,667234,Product C,Service C,Europe,448494,68453,27366,16528,30047,1915,522925,522925,0,746833,728140,18693,240636
2024-05-16,486523,Product C,Service B,Europe,468349,115804,13436,36064,37463,4451,279305,279305,0,433633,880920,-447287,146718
2023-06-02,95784,Product A,Service B,Asia,411038,196087,10924,32574,10076,4261,-158138,-158138,-200,188731,48090,140641,659638
2024-03-06,472250,Product A,Service A,North America,142872,122488,64353,13048,5452,4746,262163,262163,0,962948,106187,856761,569634
2024-01-25,319788,Product A,Service C,Europe,54565,113017,12397,19577,33749,4116,136932,136932,0,461918,33827,428091,351538
2023-09-15,961665,Product B,Service C,Africa,348896,108252,30688,26367,19485,1867,775006,775006,0,217460,149721,67739,393730
2023-06-01,616462,Product C,Service B,South America,389018,147710,78241,42928,39063,4846,303674,303674,0,200057,258415,-58358,720298
2024-02-11,972483,Product A,Service B,Oceania,233428,86725,80178,48183,12793,4427,740177,740177,0,222140,199569,22571,775025
2024-05-01,365399,Product C,Service B,Europe,466671,129820,75411,10755,2190,2119,145104,145104,0,143983,548883,-404900,816441
2023-09-16,517201,Product C,Service A,North America,498803,19422,15682,7455,39042,3054,432546,432546,0,435899,22780,413119,300967
2024-01-28,452683,Product C,Service B,North America,365237,108542,26303,37862,12353,3659,263964,263964,0,206523,763124,-556601,29923
2023-07-10,946399,Product C,Service B,South America,448957,190844,94749,3826,46480,474,610026,610026,0,471614,835138,-363524,938317
2024-03-20,281400,Product A,Service B,Asia,361200,57537,70701,38764,9227,2217,102954,102954,0,839351,99076,740275,820865
2023-08-31,147536,Product A,Service C,South America,265401,18328,79570,43895,22313,3474,-20044,-20044,-100,735319,600115,135204,573646
2023-08-31,258904,Product B,Service B,Africa,138006,170934,65857,47293,12189,2563,-39932,-39932,-100,897268,875985,21283,563002
2024-02-24,576511,Product B,Service A,Africa,71094,90051,76060,48488,26380,2110,333422,333422,0,808839,773324,35515,845913
2023-12-25,984651,Product C,Service C,North America,196142,83077,11175,45082,28892,1536,814889,814889,0,196289,772684,-576395,859015
2023-06-06,537315,Product B,Service A,South America,106325,185232,73967,46162,24787,4222,202945,202945,0,711689,124387,587302,488395
2023-09-04,667789,Product C,Service C,Asia,119790,170956,17379,41124,33056,2480,402794,402794,0,943532,369234,574298,184745
2024-02-18,215393,Product B,Service C,Africa,395964,31908,51028,44331,24934,1405,61787,61787,0,857701,414911,442790,966063
2024-01-31,239752,Product A,Service B,South America,81746,143667,53362,13461,31622,3978,-6338,-6338,-100,352890,181120,171770,855521
2024-04-26,504817,Product C,Service B,Asia,200813,36033,76784,4483,35396,604,351517,351517,0,854440,492172,362268,445432
2023-06-04,44957,Product B,Service C,Asia,346375,57971,10571,40268,2692,2997,-69542,-69542,-200,142714,316252,-173538,2745
2024-05-12,400995,Product B,Service C,Europe,195404,189171,48716,19345,44127,4339,95297,95297,0,96497,480960,-384463,721249
2024-04-13,185287,Product C,Service B,Asia,285180,21956,75443,22182,41009,4843,19854,19854,0,596211,118353,477858,124214
2023-07-21,136483,Product C,Service B,Oceania,415960,28496,27981,34323,10585,3822,31276,31276,0,400900,782320,-381420,252600
2023-06-11,883799,Product B,Service A,Oceania,454832,87063,99728,18808,44980,1959,631261,631261,0,365678,700664,-334986,721081
2023-07-14,120289,Product C,Service C,Oceania,484748,138192,12841,31266,28207,451,-90668,-90668,-100,824389,663936,160453,146923
2024-02-08,905473,Product C,Service C,Africa,401354,18758,6441,31226,2323,375,846350,846350,0,752211,99323,652888,806001
2023-09-29,187906,Product B,Service A,Africa,190114,102310,60824,16075,11203,3589,-6095,-6095,-100,979675,279761,699914,389635
2023-09-08,97811,Product C,Service A,South America,45335,92938,80842,29454,5370,2796,-113589,-113589,-200,202517,850437,-647920,970458
2024-01-03,904894,Product C,Service B,Africa,215438,26844,12697,29525,39639,4347,791842,791842,0,453519,475558,-22039,232663
2023-07-23,373631,Product A,Service A,Asia,71221,147177,48500,43291,22828,3196,108639,108639,0,938762,569315,369447,544961
2024-01-09,823808,Product C,Service B,North America,366045,36943,9684,29035,13258,2512,732376,732376,0,399421,126297,273124,583485
2023-09-08,437224,Product C,Service B,North America,231145,92942,13767,16985,24735,4338,284457,284457,0,469042,404415,64627,278279
2023-10-08,140623,Product B,Service A,Oceania,259903,24446,93685,19318,2941,1939,-1706,-1706,-100,442826,583866,-141040,398685
2024-05-23,288411,Product B,Service C,Europe,249556,109420,82098,19445,6309,3629,67510,67510,0,292199,9876,282323,501569
2023-07-05,938769,Product B,Service A,South America,324243,75189,58851,46040,48021,4047,706621,706621,0,500572,403443,97129,957258
2023-06-28,925769,Product B,Service C,Africa,302764,97772,63943,1104,30926,1595,730429,730429,0,996109,53541,942568,990740
2023-06-30,798445,Product B,Service B,Africa,299502,63168,39879,8489,10722,4661,671526,671526,0,571845,291091,280754,783548
2023-07-05,108564,Product B,Service B,Oceania,104036,131401,6633,38132,19703,585,-87890,-87890,-100,164179,759892,-595713,115342
2023-07-21,969036,Product B,Service B,Africa,267999,102592,22852,39099,8426,749,795318,795318,0,832078,327444,504634,505895
2023-07-27,491698,Product A,Service C,Oceania,97312,181204,40465,31053,29384,4572,205020,205020,0,86799,634331,-547532,912579
2023-08-06,559536,Product C,Service A,Europe,308095,81825,66658,44941,8703,4777,352632,352632,0,305240,656201,-350961,161171
2023-07-15,254016,Product B,Service C,North America,477348,142046,27795,8557,11737,1161,62720,62720,0,243124,182838,60286,98952
2023-10-05,162084,Product A,Service A,Oceania,218686,172850,23002,14798,43750,1677,-93993,-93993,-100,559453,627128,-67675,719424
2023-06-12,773271,Product C,Service C,Europe,371993,34102,23861,38304,31846,3593,641565,641565,0,764326,6631,757695,247876
2023-11-10,811831,Product A,Service C,Oceania,256004,65387,41242,1524,23848,3712,676118,676118,0,147836,790893,-643057,756034
2024-04-02,694500,Product A,Service A,South America,173980,100585,33947,40188,17698,954,501128,501128,0,54741,94466,-39725,320454
2024-05-06,416066,Product B,Service C,Asia,116572,38607,78943,1385,18019,3402,275710,275710,0,256118,323911,-67793,436746
2023-08-22,149252,Product C,Service C,Europe,77104,22291,95612,8499,3687,737,18426,18426,0,470588,333996,136592,634146
2024-05-06,398667,Product B,Service A,Africa,246229,104739,33657,9919,39536,2733,208083,208083,0,769901,16360,753541,98095
2023-07-07,401940,Product C,Service A,Oceania,419876,54777,94809,20058,42910,1587,187799,187799,0,629518,149864,479654,735981
2023-09-14,214744,Product A,Service B,Asia,287291,114794,95071,27048,5879,1695,-29743,-29743,-100,499124,288441,210683,504981
2024-01-09,915722,Product B,Service A,South America,238759,120453,86157,15743,1227,3479,688663,688663,0,83262,869052,-785790,709352
2023-09-15,809742,Product A,Service B,Africa,185389,125788,86563,34675,22919,1631,538166,538166,0,726985,210801,516184,786174
2023-08-01,683439,Product A,Service A,Africa,239398,169821,51277,15115,32991,1013,413222,413222,0,162855,78007,84848,748119
2023-06-25,608719,Product A,Service B,South America,395077,48963,36196,17083,14343,3322,488812,488812,0,279600,433867,-154267,4843
2024-03-12,240176,Product C,Service B,North America,187257,198197,3964,13974,45390,2120,-23469,-23469,-100,488708,696187,-207479,693752
2023-11-05,693931,Product C,Service C,Asia,398713,95248,50067,9575,17072,3590,518379,518379,0,275852,417905,-142053,816642
2024-03-19,422625,Product C,Service A,Africa,110115,96783,89977,39525,39826,4864,151650,151650,0,218512,841505,-622993,358118
2023-06-15,780416,Product A,Service C,North America,494821,146805,60456,34455,14129,1879,522692,522692,0,303427,83909,219518,432820
2024-01-09,751252,Product C,Service C,Africa,370645,165629,50061,21043,21037,1405,492077,492077,0,626657,697065,-70408,690895
2024-02-17,536505,Product C,Service A,Asia,447142,121956,94204,27495,48803,2883,241164,241164,0,911604,629971,281633,83248
2024-01-15,76990,Product B,Service B,Africa,136911,112881,43238,48716,42783,2723,-173351,-173351,-300,80893,244386,-163493,400369
2023-09-10,411303,Product A,Service B,Europe,209401,48392,42614,36399,47040,380,236478,236478,0,784701,132868,651833,53648
2023-08-09,974818,Product A,Service B,North America,204851,42037,62758,20488,19126,4725,825684,825684,0,318133,686700,-368567,325781
2024-03-08,430750,Product B,Service B,Oceania,10002,64030,72209,13818,1997,2833,275863,275863,0,626546,91604,534942,689323
2023-12-05,72726,Product C,Service A,North America,57491,192373,88807,46980,44879,2242,-302555,-302555,-500,533479,130190,403289,411621
